clip_id,file_path,file_name,modality_code,modality,vocal_channel_code,vocal_channel,emotion_code,emotion,intensity_code,intensity,statement_code,statement,repetition,actor,gender
clip_00000,data\raw\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-01-01-01.wav,03-01-05-01-01-01-01.wav,03,audio_only,01,speech,05,angry,01,normal,01,kids_are_talking_by_the_door,1,1,male
clip_00001,data\raw\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-01-01-01.wav,03-01-05-02-01-01-01.wav,03,audio_only,01,speech,05,angry,02,strong,01,kids_are_talking_by_the_door,1,1,male
clip_00002,data\raw\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-01-02-01.wav,03-01-05-01-01-02-01.wav,03,audio_only,01,speech,05,angry,01,normal,01,kids_are_talking_by_the_door,2,1,male
clip_00003,data\raw\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-01-02-01.wav,03-01-05-02-01-02-01.wav,03,audio_only,01,speech,05,angry,02,strong,01,kids_are_talking_by_the_door,2,1,male
clip_00004,data\raw\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-02-01-01.wav,03-01-05-01-02-01-01.wav,03,audio_only,01,speech,05,angry,01,normal,02,dogs_are_sitting_by_the_door,1,1,male
clip_00005,data\raw\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-02-01-01.wav,03-01-05-02-02-01-01.wav,03,audio_only,01,speech,05,angry,02,strong,02,dogs_are_sitting_by_the_door,1,1,male
clip_00006,data\raw\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-02-02-01.wav,03-01-05-01-02-02-01.wav,03,audio_only,01,speech,05,angry,01,normal,02,dogs_are_sitting_by_the_door,2,1,male
clip_00007,data\raw\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-02-02-01.wav,03-01-05-02-02-02-01.wav,03,audio_only,01,speech,05,angry,02,strong,02,dogs_are_sitting_by_the_door,2,1,male
clip_00008,data\raw\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-01-01.wav,03-01-02-01-01-01-01.wav,03,audio_only,01,speech,02,calm,01,normal,01,kids_are_talking_by_the_door,1,1,male
clip_00009,data\raw\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-01-01.wav,03-01-02-02-01-01-01.wav,03,audio_only,01,speech,02,calm,02,strong,01,kids_are_talking_by_the_door,1,1,male
